              x              y            psi
              0              0              0
              0       0.052632              0
              0        0.10526              0
              0        0.15789              0
              0        0.21053              0

       0.052632              0      -0.003006
       0.052632       0.052632     -0.0059538
       0.052632        0.10526     -0.0084715
       0.052632        0.15789     -0.0093041
       0.052632        0.21053              0

        0.10526              0     -0.0069368
        0.10526       0.052632      -0.013668
        0.10526        0.10526      -0.018854
        0.10526        0.15789      -0.018523
        0.10526        0.21053              0

        0.15789              0     -0.0086783
        0.15789       0.052632      -0.017411
        0.15789        0.10526      -0.024442
        0.15789        0.15789      -0.023699
        0.15789        0.21053              0

        0.21053              0     -0.0063292
        0.21053       0.052632      -0.013176
        0.21053        0.10526      -0.019642
        0.21053        0.15789      -0.020636
        0.21053        0.21053              0

