              x              y            psi
              0              0              0
              0         0.0625              0
              0          0.125              0
              0         0.1875              0
              0           0.25              0
              0         0.3125              0

            0.1              0     -0.0066843
            0.1         0.0625      -0.012616
            0.1          0.125      -0.016983
            0.1         0.1875      -0.018983
            0.1           0.25      -0.017104
            0.1         0.3125              0

            0.2              0      -0.012924
            0.2         0.0625      -0.024854
            0.2          0.125      -0.034042
            0.2         0.1875      -0.037535
            0.2           0.25      -0.030422
            0.2         0.3125              0

            0.3              0      -0.012035
            0.3         0.0625      -0.024119
            0.3          0.125      -0.035116
            0.3         0.1875      -0.041493
            0.3           0.25       -0.03525
            0.3         0.3125              0

