              x              y            psi
              0              0              0
        0.33333              0              0
        0.66667              0              0
              1              0              0

              0        0.33333              0
        0.33333        0.33333       -7.5e-07
        0.66667        0.33333       -7.5e-07
              1        0.33333              0

              0        0.66667              0
        0.33333        0.66667      -2.25e-06
        0.66667        0.66667      -2.25e-06
              1        0.66667              0

              0              1              0
        0.33333              1              0
        0.66667              1              0
              1              1              0

