              x              y            psi
              0              0              0
         0.0125              0              0
          0.025              0              0
         0.0375              0              0
           0.05              0              0
         0.0625              0              0
          0.075              0              0
         0.0875              0              0
            0.1              0              0
         0.1125              0              0
          0.125              0              0
         0.1375              0              0
           0.15              0              0
         0.1625              0              0
          0.175              0              0
         0.1875              0              0
            0.2              0              0
         0.2125              0              0
          0.225              0              0
         0.2375              0              0
           0.25              0              0
         0.2625              0              0
          0.275              0              0
         0.2875              0              0
            0.3              0              0
         0.3125              0              0
          0.325              0              0
         0.3375              0              0
           0.35              0              0
         0.3625              0              0
          0.375              0              0
         0.3875              0              0
            0.4              0              0
         0.4125              0              0
          0.425              0              0
         0.4375              0              0
           0.45              0              0
         0.4625              0              0
          0.475              0              0
         0.4875              0              0
            0.5              0              0
         0.5125              0              0
          0.525              0              0
         0.5375              0              0
           0.55              0              0
         0.5625              0              0
          0.575              0              0
         0.5875              0              0
            0.6              0              0
         0.6125              0              0
          0.625              0              0
         0.6375              0              0
           0.65              0              0
         0.6625              0              0
          0.675              0              0
         0.6875              0              0
            0.7              0              0
         0.7125              0              0
          0.725              0              0
         0.7375              0              0
           0.75              0              0
         0.7625              0              0
          0.775              0              0
         0.7875              0              0
            0.8              0              0
         0.8125              0              0
          0.825              0              0
         0.8375              0              0
           0.85              0              0
         0.8625              0              0
          0.875              0              0
         0.8875              0              0
            0.9              0              0
         0.9125              0              0
          0.925              0              0
         0.9375              0              0
           0.95              0              0
         0.9625              0              0
          0.975              0              0
         0.9875              0              0
              1              0              0

              0         0.0125              0
         0.0125         0.0125     2.1714e-07
          0.025         0.0125     5.9608e-07
         0.0375         0.0125     9.0392e-07
           0.05         0.0125     1.0095e-06
         0.0625         0.0125     8.5201e-07
          0.075         0.0125     4.1111e-07
         0.0875         0.0125    -3.1089e-07
            0.1         0.0125    -1.2994e-06
         0.1125         0.0125    -2.5336e-06
          0.125         0.0125    -3.9893e-06
         0.1375         0.0125    -5.6415e-06
           0.15         0.0125    -7.4652e-06
         0.1625         0.0125    -9.4363e-06
          0.175         0.0125    -1.1532e-05
         0.1875         0.0125    -1.3731e-05
            0.2         0.0125    -1.6013e-05
         0.2125         0.0125    -1.8361e-05
          0.225         0.0125    -2.0755e-05
         0.2375         0.0125    -2.3182e-05
           0.25         0.0125    -2.5626e-05
         0.2625         0.0125    -2.8072e-05
          0.275         0.0125    -3.0508e-05
         0.2875         0.0125     -3.292e-05
            0.3         0.0125    -3.5296e-05
         0.3125         0.0125    -3.7623e-05
          0.325         0.0125     -3.989e-05
         0.3375         0.0125    -4.2083e-05
           0.35         0.0125     -4.419e-05
         0.3625         0.0125    -4.6199e-05
          0.375         0.0125    -4.8097e-05
         0.3875         0.0125    -4.9872e-05
            0.4         0.0125     -5.151e-05
         0.4125         0.0125    -5.2999e-05
          0.425         0.0125    -5.4328e-05
         0.4375         0.0125    -5.5483e-05
           0.45         0.0125    -5.6453e-05
         0.4625         0.0125    -5.7228e-05
          0.475         0.0125    -5.7797e-05
         0.4875         0.0125    -5.8151e-05
            0.5         0.0125    -5.8283e-05
         0.5125         0.0125    -5.8186e-05
          0.525         0.0125    -5.7854e-05
         0.5375         0.0125    -5.7287e-05
           0.55         0.0125    -5.6481e-05
