              x              y      vorticity
              0              0              0
            0.1              0       0.023968
            0.2              0        0.12206
            0.3              0        0.24755
            0.4              0        0.35436
            0.5              0        0.40382
            0.6              0        0.36876
            0.7              0        0.25146
            0.8              0        0.10113
            0.9              0     0.00055946
              1              0              0

              0            0.1       0.023968
            0.1            0.1       0.084226
            0.2            0.1        0.13972
            0.3            0.1        0.20056
            0.4            0.1        0.24903
            0.5            0.1        0.26861
            0.6            0.1        0.25512
            0.7            0.1        0.21559
            0.8            0.1        0.16009
            0.9            0.1       0.093029
              1            0.1     0.00055946

              0            0.2        0.14226
            0.1            0.2        0.14946
            0.2            0.2        0.14603
            0.3            0.2        0.15141
            0.4            0.2        0.15887
            0.5            0.2        0.16576
            0.6            0.2        0.18065
            0.7            0.2        0.20919
            0.8            0.2        0.23413
            0.9            0.2         0.2102
              1            0.2       0.087169

              0            0.3        0.34781
            0.1            0.3        0.23508
            0.2            0.3        0.14417
            0.3            0.3       0.086793
            0.4            0.3        0.05273
            0.5            0.3       0.046095
            0.6            0.3       0.088689
            0.7            0.3        0.19581
            0.8            0.3        0.33798
            0.9            0.3        0.41345
              1            0.3        0.29584

              0            0.4        0.62155
            0.1            0.4         0.3376
            0.2            0.4        0.13152
            0.3            0.4     -0.0052132
            0.4            0.4       -0.10046
            0.5            0.4       -0.15025
            0.6            0.4       -0.11121
            0.7            0.4       0.074577
            0.8            0.4         0.4115
            0.9            0.4        0.73502
              1            0.4        0.71962

              0            0.5        0.93336
            0.1            0.5        0.44924
            0.2            0.5        0.10832
            0.3            0.5       -0.12818
            0.4            0.5       -0.31984
            0.5            0.5       -0.47547
            0.6            0.5       -0.52907
            0.7            0.5       -0.33688
            0.8            0.5          0.254
            0.9            0.5         1.1262
              1            0.5         1.5641

              0            0.6         1.2487
            0.1            0.6         0.5599
            0.2            0.6       0.080562
            0.3            0.6       -0.26662
            0.4            0.6       -0.58299
            0.5            0.6       -0.91058
            0.6            0.6        -1.1926
            0.7            0.6         -1.207
            0.8            0.6       -0.50997
            0.9            0.6         1.2526
              1            0.6         3.1714

              0            0.7         1.5609
            0.1            0.7        0.63977
            0.2            0.7       0.038039
            0.3            0.7       -0.40425
            0.4            0.7       -0.83257
            0.5            0.7        -1.3316
            0.6            0.7        -1.9099
            0.7            0.7        -2.4019
            0.8            0.7        -2.1611
            0.9            0.7        0.17667
              1            0.7         5.8456

              0            0.8         1.9377
            0.1            0.8        0.49973
            0.2            0.8       -0.23378
            0.3            0.8       -0.75569
            0.4            0.8        -1.2549
            0.5            0.8        -1.8254
            0.6            0.8        -2.5322
            0.7            0.8        -3.4157
            0.8            0.8        -4.1158
            0.9            0.8        -3.4042
              1            0.8          9.045

              0            0.9         2.3441
            0.1            0.9         -1.315
            0.2            0.9        -2.5446
            0.3            0.9        -3.2052
            0.4            0.9        -3.6272
            0.5            0.9        -3.9549
            0.6            0.9        -4.2648
            0.7            0.9        -4.7924
            0.8            0.9        -5.1197
            0.9            0.9        -8.9843
              1            0.9         9.6113

              0              1            -20
            0.1              1        -17.656
            0.2              1        -15.191
            0.3              1        -13.044
            0.4              1        -11.225
            0.5              1        -9.7234
            0.6              1        -8.6068
            0.7              1        -8.0397
            0.8              1        -8.5685
            0.9              1        -10.389
              1              1            -20

