              x              y              w
              0              0              0
        0.00625              0     -0.0004608
         0.0125              0     -0.0022271
        0.01875              0     -0.0047331
          0.025              0     -0.0074141
        0.03125              0     -0.0098561
         0.0375              0       -0.01178
        0.04375              0      -0.013002
           0.05              0      -0.013408
        0.05625              0      -0.012927
         0.0625              0      -0.011522
        0.06875              0     -0.0091793
          0.075              0     -0.0059005
        0.08125              0     -0.0017004
         0.0875              0      0.0033979
        0.09375              0      0.0093649
            0.1              0       0.016167
        0.10625              0       0.023766
         0.1125              0       0.032123
        0.11875              0       0.041198
          0.125              0        0.05095
        0.13125              0       0.061336
         0.1375              0       0.072317
        0.14375              0       0.083852
           0.15              0       0.095901
        0.15625              0        0.10843
         0.1625              0        0.12139
        0.16875              0        0.13475
          0.175              0        0.14848
        0.18125              0        0.16254
         0.1875              0         0.1769
        0.19375              0        0.19153
            0.2              0         0.2064
        0.20625              0        0.22148
         0.2125              0        0.23673
        0.21875              0        0.25214
          0.225              0        0.26768
        0.23125              0        0.28331
         0.2375              0        0.29903
        0.24375              0         0.3148
           0.25              0         0.3306
        0.25625              0        0.34641
         0.2625              0        0.36221
        0.26875              0        0.37797
          0.275              0        0.39368
        0.28125              0        0.40931
         0.2875              0        0.42484
        0.29375              0        0.44026
            0.3              0        0.45554
        0.30625              0        0.47066
         0.3125              0        0.48561
        0.31875              0        0.50036
          0.325              0         0.5149
        0.33125              0         0.5292
         0.3375              0        0.54324
        0.34375              0        0.55701
           0.35              0        0.57047
        0.35625              0        0.58363
         0.3625              0        0.59644
        0.36875              0         0.6089
          0.375              0        0.62098
        0.38125              0        0.63266
         0.3875              0        0.64392
        0.39375              0        0.65474
            0.4              0         0.6651
        0.40625              0        0.67498
         0.4125              0        0.68436
        0.41875              0        0.69322
          0.425              0        0.70154
        0.43125              0         0.7093
         0.4375              0        0.71648
        0.44375              0        0.72306
           0.45              0        0.72903
        0.45625              0        0.73436
         0.4625              0        0.73905
        0.46875              0        0.74307
          0.475              0         0.7464
        0.48125              0        0.74905
         0.4875              0        0.75098
        0.49375              0         0.7522
            0.5              0        0.75268
        0.50625              0        0.75243
         0.5125              0        0.75142
        0.51875              0        0.74966
          0.525              0        0.74713
        0.53125              0        0.74384
         0.5375              0        0.73978
        0.54375              0        0.73495
           0.55              0        0.72935
        0.55625              0        0.72299
         0.5625              0        0.71586
        0.56875              0        0.70798
          0.575              0        0.69935
        0.58125              0        0.68999
         0.5875              0        0.67991
        0.59375              0        0.66911
            0.6              0        0.65763
        0.60625              0        0.64547
         0.6125              0        0.63265
        0.61875              0        0.61921
          0.625              0        0.60516
        0.63125              0        0.59054
         0.6375              0        0.57536
        0.64375              0        0.55966
           0.65              0        0.54347
        0.65625              0        0.52683
         0.6625              0        0.50977
        0.66875              0        0.49233
          0.675              0        0.47455
        0.68125              0        0.45647
         0.6875              0        0.43813
        0.69375              0        0.41957
            0.7              0        0.40084
        0.70625              0        0.38198
         0.7125              0        0.36303
        0.71875              0        0.34405
          0.725              0        0.32508
        0.73125              0        0.30617
         0.7375              0        0.28736
        0.74375              0        0.26871
           0.75              0        0.25025
        0.75625              0        0.23204
         0.7625              0        0.21413
        0.76875              0        0.19655
          0.775              0        0.17936
        0.78125              0        0.16259
         0.7875              0         0.1463
        0.79375              0        0.13052
            0.8              0         0.1153
        0.80625              0        0.10067
         0.8125              0       0.086671
        0.81875              0       0.073338
          0.825              0       0.060704
        0.83125              0         0.0488
         0.8375              0       0.037656
        0.84375              0       0.027296
           0.85              0       0.017745
        0.85625              0      0.0090222
         0.8625              0      0.0011456
        0.86875              0     -0.0058711
          0.875              0      -0.012018
        0.88125              0      -0.017288
         0.8875              0       -0.02168
        0.89375              0      -0.025196
            0.9              0      -0.027844
        0.90625              0      -0.029638
         0.9125              0      -0.030598
        0.91875              0      -0.030751
          0.925              0      -0.030134
        0.93125              0      -0.028794
         0.9375              0      -0.026789
        0.94375              0      -0.024194
           0.95              0      -0.021101
        0.95625              0      -0.017625
         0.9625              0      -0.013912
        0.96875              0      -0.010145
          0.975              0     -0.0065548
        0.98125              0     -0.0034323
         0.9875              0      -0.001122
        0.99375              0     3.8307e-05
              1              0              0

              0        0.00625     -0.0004608
        0.00625        0.00625      -0.001306
         0.0125        0.00625     -0.0021503
        0.01875        0.00625     -0.0031904
          0.025        0.00625     -0.0042743
        0.03125        0.00625     -0.0051835
         0.0375        0.00625     -0.0057228
        0.04375        0.00625       -0.00574
           0.05        0.00625     -0.0051244
        0.05625        0.00625     -0.0038001
         0.0625        0.00625     -0.0017182
        0.06875        0.00625      0.0011491
          0.075        0.00625      0.0048131
        0.08125        0.00625       0.009273
         0.0875        0.00625       0.014518
        0.09375        0.00625       0.020531
            0.1        0.00625       0.027289
        0.10625        0.00625       0.034764
         0.1125        0.00625       0.042926
        0.11875        0.00625       0.051743
          0.125        0.00625       0.061181
        0.13125        0.00625       0.071206
         0.1375        0.00625       0.081782
        0.14375        0.00625       0.092875
           0.15        0.00625        0.10445
        0.15625        0.00625        0.11647
         0.1625        0.00625        0.12891
        0.16875        0.00625        0.14173
          0.175        0.00625        0.15489
        0.18125        0.00625        0.16837
         0.1875        0.00625        0.18214
        0.19375        0.00625        0.19617
            0.2        0.00625        0.21043
        0.20625        0.00625        0.22488
         0.2125        0.00625        0.23951
        0.21875        0.00625        0.25429
          0.225        0.00625         0.2692
        0.23125        0.00625         0.2842
         0.2375        0.00625        0.29927
        0.24375        0.00625         0.3144
           0.25        0.00625        0.32956
        0.25625        0.00625        0.34472
         0.2625        0.00625        0.35988
        0.26875        0.00625        0.37499
