              x              y              w
              0              0              0
        0.00625              0    -0.00046304
         0.0125              0      -0.002247
        0.01875              0     -0.0047827
          0.025              0     -0.0074997
        0.03125              0     -0.0099797
         0.0375              0       -0.01194
        0.04375              0      -0.013194
           0.05              0      -0.013626
        0.05625              0      -0.013164
         0.0625              0       -0.01177
        0.06875              0     -0.0094299
          0.075              0     -0.0061448
        0.08125              0     -0.0019294
         0.0875              0      0.0031931
        0.09375              0      0.0091929
            0.1              0       0.016036
        0.10625              0       0.023684
         0.1125              0       0.032099
        0.11875              0       0.041239
          0.125              0       0.051062
        0.13125              0       0.061528
         0.1375              0       0.072593
        0.14375              0       0.084219
           0.15              0       0.096364
        0.15625              0        0.10899
         0.1625              0        0.12206
        0.16875              0        0.13553
          0.175              0        0.14937
        0.18125              0        0.16355
         0.1875              0        0.17804
        0.19375              0        0.19279
            0.2              0        0.20778
        0.20625              0        0.22299
         0.2125              0        0.23837
        0.21875              0        0.25391
          0.225              0        0.26958
        0.23125              0        0.28536
         0.2375              0        0.30121
        0.24375              0        0.31712
           0.25              0        0.33306
        0.25625              0          0.349
         0.2625              0        0.36494
        0.26875              0        0.38084
          0.275              0        0.39668
        0.28125              0        0.41245
         0.2875              0        0.42812
        0.29375              0        0.44368
            0.3              0        0.45909
        0.30625              0        0.47435
         0.3125              0        0.48943
        0.31875              0        0.50431
          0.325              0        0.51898
        0.33125              0         0.5334
         0.3375              0        0.54757
        0.34375              0        0.56146
           0.35              0        0.57504
        0.35625              0        0.58831
         0.3625              0        0.60124
        0.36875              0         0.6138
          0.375              0        0.62599
        0.38125              0        0.63777
         0.3875              0        0.64913
        0.39375              0        0.66004
            0.4              0        0.67049
        0.40625              0        0.68045
         0.4125              0        0.68991
        0.41875              0        0.69884
          0.425              0        0.70723
        0.43125              0        0.71505
         0.4375              0        0.72228
        0.44375              0        0.72891
           0.45              0        0.73492
        0.45625              0        0.74029
         0.4625              0        0.74501
        0.46875              0        0.74905
          0.475              0         0.7524
        0.48125              0        0.75506
         0.4875              0        0.75699
        0.49375              0         0.7582
            0.5              0        0.75867
        0.50625              0        0.75839
         0.5125              0        0.75736
        0.51875              0        0.75556
          0.525              0        0.75299
        0.53125              0        0.74965
         0.5375              0        0.74553
        0.54375              0        0.74063
           0.55              0        0.73496
        0.55625              0        0.72851
         0.5625              0         0.7213
        0.56875              0        0.71332
          0.575              0         0.7046
        0.58125              0        0.69512
         0.5875              0        0.68492
        0.59375              0        0.67401
            0.6              0         0.6624
        0.60625              0         0.6501
         0.6125              0        0.63715
        0.61875              0        0.62357
          0.625              0        0.60937
        0.63125              0        0.59459
         0.6375              0        0.57926
        0.64375              0         0.5634
           0.65              0        0.54705
        0.65625              0        0.53025
         0.6625              0        0.51302
        0.66875              0        0.49542
          0.675              0        0.47746
        0.68125              0        0.45921
         0.6875              0         0.4407
        0.69375              0        0.42197
            0.7              0        0.40307
        0.70625              0        0.38404
         0.7125              0        0.36492
        0.71875              0        0.34578
          0.725              0        0.32664
        0.73125              0        0.30757
         0.7375              0        0.28861
        0.74375              0         0.2698
           0.75              0        0.25119
        0.75625              0        0.23284
         0.7625              0        0.21479
        0.76875              0        0.19708
          0.775              0        0.17976
        0.78125              0        0.16287
         0.7875              0        0.14647
        0.79375              0        0.13058
            0.8              0        0.11526
        0.80625              0        0.10053
         0.8125              0       0.086449
        0.81875              0       0.073038
          0.825              0       0.060334
        0.83125              0       0.048369
         0.8375              0        0.03717
        0.84375              0       0.026765
           0.85              0       0.017176
        0.85625              0      0.0084242
         0.8625              0     0.00052633
        0.86875              0     -0.0065037
          0.875              0      -0.012656
        0.88125              0      -0.017924
         0.8875              0      -0.022307
        0.89375              0      -0.025806
            0.9              0      -0.028431
        0.90625              0      -0.030195
         0.9125              0       -0.03112
        0.91875              0      -0.031233
          0.925              0      -0.030572
        0.93125              0      -0.029183
         0.9375              0      -0.027127
        0.94375              0       -0.02448
           0.95              0      -0.021333
        0.95625              0      -0.017805
         0.9625              0      -0.014042
        0.96875              0       -0.01023
          0.975              0     -0.0066021
        0.98125              0     -0.0034505
         0.9875              0     -0.0011227
